"Belegdatum";"Buchungsdatum";"Belegnummernkreis";"Belegnummer";"Buchungstext";"Buchungsbetrag";"Sollkonto";"Habenkonto";"Steuerschlüssel";"Kostenstelle 1";"Kostenstelle 2";"Buchungsbetrag DM";"Buchungsbetrag Euro";"Währung"
05.04.2019;05.04.2019;"";-;"Examiner Consulting Llc INVOICE EURO20190403-1  58809281TW0 0405000179001";1000,00;1200;;0;"";"";1000,00;1000,00;EUR;
05.04.2019;05.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";102,50;4970;1200;0;"";"";102,50;102,50;EUR;
05.04.2019;05.04.2019;"";-;" AZCS9095005029 00  KONIGSALLEE 98 40212 DUSSELDORF  BIDSWITCH GMBH BAHNHOFSTRASSE 28 POSTFACH 7563 630 2 ZUG SWITZERLAND CH 40127674639917  /RFB/FROM BIDSWITCH GMBH /INV/USD20 190131-2 /RFB/RBH050490K8O7QF4";288799,67;1210;;0;"";"";288799,67;288799,67;EUR;
08.04.2019;08.04.2019;"";-;" AZCS9098041621 00 MU13AFBL2501059903000000021EUR  KONIGSALLEE 98 40212 DUSSELDORF  ATOM OPERATIONS LIMITED 116 MAIN STREET, PO BOX 3324, ROAD TOWN, TORTOLA BRITISH VIRGIN ISLANDS MU13AFBL2501059903000000021EUR  /RFB//INVOICE EURO201904042 //";10000,00;1200;;0;"";"";10000,00;10000,00;EUR;
08.04.2019;08.04.2019;"";-;"KRIMTAN BALGARIY Invoice 20190206-1  0408000194001";1000,00;1200;;0;"";"";1000,00;1000,00;EUR;
08.04.2019;08.04.2019;"";-;" AZCS9098020021 00   EAST BAY ADS INC 2018 TSUSHIMA ST HERCULES CA 94547-5450 US 325102598975  /RFB/259944788//POP SERVICES";8687,34;1200;;0;"";"";8687,34;8687,34;EUR;
11.04.2019;11.04.2019;"";-;"Examiner Consulting Llc INVOICE EURO20190405-2  59521611TW0 0411001205001";2000,00;1200;;0;"";"";2000,00;2000,00;EUR;
11.04.2019;11.04.2019;"";-;"ADXCLUSIVE B.V. EURO20190411 1 INV NO  FT1910100654 AZCN910102970900";20000,00;1200;;0;"";"";20000,00;20000,00;EUR;
11.04.2019;11.04.2019;"";-;" AZCS9101057126 00  DUSSELDORF  BIN141040026698 ADMIXER CENTRAL ASIA LLP 202 H 405 F PR DOSTYK ALMATY KAZAKHSTAN 050201.KZ826017131000039733  CONT.01/2017 DD 270617 INV. USD2019 0131-24 DATE 31 01 2019 PAYMENT FOR A  FACEBOOK";118447,71;1210;;0;"";"";118447,71;118447,71;EUR;
12.04.2019;12.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";244,92;4970;1200;0;"";"";244,92;244,92;EUR;
12.04.2019;12.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZCM9102028772 IHRE REF: ZA";3411,17;;1200;0;"";"";3411,17;3411,17;EUR;
12.04.2019;12.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";474,17;4970;1200;0;"";"";474,17;474,17;EUR;
12.04.2019;12.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZCM9102028989 IHRE REF: ZA DE70500100600754009603";30577,61;;1200;0;"";"";30577,61;30577,61;EUR;
12.04.2019;12.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";30,00;4970;1200;0;"";"";30,00;30,00;EUR;
12.04.2019;12.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";37,10;4970;1200;0;"";"";37,10;37,10;EUR;
12.04.2019;12.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";117,68;4970;1200;0;"";"";117,68;117,68;EUR;
12.04.2019;12.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";60,34;4970;1200;0;"";"";60,34;60,34;EUR;
12.04.2019;12.04.2019;"";-;"George Giorgadze payment for consulting servicesacco rding to INVOICE EURO20190410-1  0412000688001";10000,00;1200;;0;"";"";10000,00;10000,00;EUR;
12.04.2019;12.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZCM9102027494 IHRE REF: ZA";2723,34;;1210;0;"";"";2723,34;2723,34;EUR;
12.04.2019;12.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZCM9102027784 IHRE REF: ZA IE82BOFA99006154878215";275004,18;;1210;0;"";"";275004,18;275004,18;EUR;
12.04.2019;12.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZCM9102028276 IHRE REF: ZA IL110124070000000043047";25800,64;;1210;0;"";"";25800,64;25800,64;EUR;
12.04.2019;12.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZCM9102027696 IHRE REF: ZA";60326,22;;1210;0;"";"";60326,22;60326,22;EUR;
12.04.2019;12.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZCM9102028615 IHRE REF: ZA DE41720700240037613700";11804,74;;1210;0;"";"";11804,74;11804,74;EUR;
12.04.2019;12.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZCM9102028038 IHRE REF: ZA IE07CITI99005111475051";136951,43;;1210;0;"";"";136951,43;136951,43;EUR;
12.04.2019;12.04.2019;"";-;" AZCS9102024579 00 CH25087620024503B000C  KONIGSALLEE 98, 40212 DUSSELDORF, GERMANY  VOSTOK MEDIA EXCHANGE SA RUE JEAN SENEBIER 4 C/O COMATRANS S 1205 GENEVE CH CH25087620024503B000C  INVOICE USD201903282";219336,06;1210;;0;"";"";219336,06;219336,06;EUR;
15.04.2019;15.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";102,50;4970;1200;0;"";"";102,50;102,50;EUR;
15.04.2019;15.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";16,34;4970;1200;0;"";"";16,34;16,34;EUR;
15.04.2019;15.04.2019;"";-;" AZCS9105037045 00    AZERBAIJAN MEDIA EXCHANGE LLC TIN 1401686691 AZERBAIJAN BAKU S RAHIMOV STR 23 AZ1014 NASIMI DIST  PAYMENT TO CONTR DD230119 INV EURO20190228-18 DD280219 EURO 20190331-1 DD310319 FOR DOUBLECLIC K BILLING MONTH FEBRUARY MARCH 2019";4006,04;1200;;0;"";"";4006,04;4006,04;EUR;
15.04.2019;15.04.2019;"";-;" AZCS9105023366 00    MILLENIA MEDIA GROUP, LLC 11824 NW 79TH CT PARKLAND FL 330763 559 US 00000000805680035  DOUBLECLICK BILLING APRIL TECHNOLOG Y EXPENSES";64730,00;1200;;0;"";"";64730,00;64730,00;EUR;
15.04.2019;15.04.2019;"";-;" AZCS9105023378 00    MILLENIA MEDIA GROUP, LLC 11824 NW 79TH CT PARKLAND FL 330763 559 US 00000000805680035  DOUBLECLICK BILLING MONTH APRIL 201 9 TECHNOLOGY EXPENSES";43400,00;1200;;0;"";"";43400,00;43400,00;EUR;
15.04.2019;15.04.2019;"";-;" AZCS9105020155 00   JINTOO INC  US 325105779953  /RFB/260541110//INVOICE EURO2019041 21 POP SERVICES";2000,00;1200;;0;"";"";2000,00;2000,00;EUR;
15.04.2019;15.04.2019;"";-;" AZCS9105020340 00   RMG DIGITAL  US 325115507173  /RFB/260551782//EURO201904081 POP O THER /EURO201904081";1000,00;1200;;0;"";"";1000,00;1000,00;EUR;
15.04.2019;15.04.2019;"";-;" AZCS9105046059 00    MILLENIA MEDIA GROUP,  US 000805680035  DOUBLECLICK BILLING TECHNOLOGY EXPE NSES /RFB/IBL OF 19/04/15";80043,23;1210;;0;"";"";80043,23;80043,23;EUR;
15.04.2019;15.04.2019;"";-;" AZCS9105037729 00  KONIGSALLEE 98 40212 DUSSELDORF GERMANY  BOLDWIN LTD 23 KIBBUTZ GALUYOT ROAD TEL AVIV 6607822 ISRAEL 3302516211  BOLDWIN-ADMIXER 02-2019";8356,40;1210;;0;"";"";8356,40;8356,40;EUR;
16.04.2019;16.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";102,04;4970;1200;0;"";"";102,04;102,04;EUR;
16.04.2019;16.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
16.04.2019;16.04.2019;"";-;" AZCS9106055067 00    MILLENIA MEDIA GROUP,  US 000805680035  DOUBLECLICK BILLING TECHNOLOGY EXPE NSES /RFB/IBL OF 19/04/16";60030,42;1210;;0;"";"";60030,42;60030,42;EUR;
16.04.2019;16.04.2019;"";-;" AZCS9106009773 00 CY07002001950000357027478072  KONIGSALLEE 98 40212 DUSSELDORF GERMANY  KITENIA LIMITED 1 3 BOUBOULINAS STREET NICOSIA 1060 LEFKOSIA CY07002001950000357027478072  SERVICES OF DISTRIBUTION ADVERTISIN IN THE SYSTEM ADMIXER ADEX MARCH 2019";2351,50;1210;;0;"";"";2351,50;2351,50;EUR;
16.04.2019;16.04.2019;"";-;" AZCS9105074864 00   HANZA GLOBAL, INC 1000 N WEST ST STE 1200 WILMINGTON, DE, 19801, US 483060436817  /RFB/260721594//INVOICE USD20190412 2 POP SERVICES";792,51;1210;;0;"";"";792,51;792,51;EUR;
17.04.2019;17.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";548,00;4970;1200;0;"";"";548,00;548,00;EUR;
17.04.2019;17.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";32,44;4970;1200;0;"";"";32,44;32,44;EUR;
17.04.2019;17.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";122,90;4970;1200;0;"";"";122,90;122,90;EUR;
17.04.2019;17.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";30,00;4970;1200;0;"";"";30,00;30,00;EUR;
17.04.2019;17.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";54,29;4970;1200;0;"";"";54,29;54,29;EUR;
17.04.2019;17.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";246,64;4970;1200;0;"";"";246,64;246,64;EUR;
17.04.2019;17.04.2019;"";-;"MTENDIGITAL INC  US 325115460485  /RFB//EURO201904102 ";1000,00;1200;;0;"";"";1000,00;1000,00;EUR;
17.04.2019;17.04.2019;"";-;" AZCN9107008325 00    MILLENIA MEDIA GROUP,  US 805680035  DOUBLECLICK BILLING TECHNOLOGY EXPENSES";44054,76;1200;;0;"";"";44054,76;44054,76;EUR;
17.04.2019;17.04.2019;"";-;"Telekom Deutschland GmbH Festnetz Vertragskonto 5622936372 R G 7260912788/08.04.2019  Zahlbeleg 323468859088 Mandatsref: DE00020100027733970 Gläubiger-ID: DE93ZZZ00000078611 SEPA-BASISLASTSCHRIFT wiederholend";42,72;;1200;0;"";"";42,72;42,72;EUR;
17.04.2019;17.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZCM9107050040 IHRE REF: ZA";22208,15;;1210;0;"";"";22208,15;22208,15;EUR;
17.04.2019;17.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZCM9107053672 IHRE REF: ZA GB80BARC20473578611899";6880,59;;1210;0;"";"";6880,59;6880,59;EUR;
17.04.2019;17.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZCM9107049829 IHRE REF: ZA";63617,45;;1210;0;"";"";63617,45;63617,45;EUR;
17.04.2019;17.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZCM9107052576 IHRE REF: ZA IL070108640000050980012";9016,17;;1210;0;"";"";9016,17;9016,17;EUR;
17.04.2019;17.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZCM9107050720 IHRE REF: ZA IE82BOFA99006154878215";320204,93;;1210;0;"";"";320204,93;320204,93;EUR;
17.04.2019;17.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZCM9107051819 IHRE REF: ZA";138303,56;;1210;0;"";"";138303,56;138303,56;EUR;
18.04.2019;18.04.2019;"";-;"ADXCLUSIVE B.V. EURO20190417 1 INV NO  0418000717001";19000,00;1200;;0;"";"";19000,00;19000,00;EUR;
18.04.2019;18.04.2019;"";-;"Examiner Consulting Llc INVOICE EURO20190417-2  ";2000,00;1200;;0;"";"";2000,00;2000,00;EUR;
23.04.2019;23.04.2019;"";-;"AUDEVIE TRADING CORP. INV EURO20190331-2 ";2001,49;1200;;0;"";"";2001,49;2001,49;EUR;
23.04.2019;23.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";102,50;4970;1200;0;"";"";102,50;102,50;EUR;
23.04.2019;23.04.2019;"";-;"MILLENIA MEDIA GROUP LLC  US 2  /RFB/261038584//DOUBLECLICK EXPENSE S";25998,79;1200;;0;"";"";25998,79;25998,79;EUR;
23.04.2019;23.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";17,92;4970;1200;0;"";"";17,92;17,92;EUR;
23.04.2019;23.04.2019;"";-;" AZCS9113010415 00  KONIGSALLEE 98, 40212 DUSSELDORF, GERMANY  GO MOBILE 7725832746 UL SAMOTECHNAYA, DOM 7, KORP STROENIE 2, MOSCOW, RUSSIA 40702840401270000547  PREPMNT FOR THE PURCHASE OF IMPRESS.OF ADVERT.MATERIALS IN APRIL 2019, IOUSD20190418-1,INV. USD20190418-1TO18.04.19,VAT 20 P.";288,18;1210;;0;"";"";288,18;288,18;EUR;
23.04.2019;23.04.2019;"";-;" AZCS9113059317 00  ADMIXER UA LLC  26003572384    DC281217 DD 2 8.12.17,  PR OVIDEESS TO TECHNICAL AND FUNCT IONAL CAPABILITIES OF THE SYSTEM";172864,81;1210;;0;"";"";172864,81;172864,81;EUR;
23.04.2019;23.04.2019;"";-;" AZCS9113023944 00  ASUS GLOBAL PTE LTD 15A CHANGI BUSINESS PARK CENTRAL 1NO 05 01 ELGHTRIUM SINGAPORE 486035 60123793988  USD20190219-2 /RFB/SWF OF 19/04/23";9261,93;1210;;0;"";"";9261,93;9261,93;EUR;
24.04.2019;24.04.2019;"";-;"SL MEDIA HOUSE LIMITED  inv EURO201903 31-4 ";4397,83;1200;;0;"";"";4397,83;4397,83;EUR;
24.04.2019;24.04.2019;"";-;"Google Ireland Limited GG101SPLLR  GG101SPLLR ";32559,42;1200;;0;"";"";32559,42;32559,42;EUR;
24.04.2019;24.04.2019;"";-;"  MILLENIA MEDIA GROUP,  US 805680035 ";44279,09;1200;;0;"";"";44279,09;44279,09;EUR;
24.04.2019;24.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
24.04.2019;24.04.2019;"";-;"  MIX DIGITAL LLC P     . VAT 289,65 EURO.TIN9909522804, IEC997789001";1737,91;1200;;0;"";"";1737,91;1737,91;EUR;
24.04.2019;24.04.2019;"";-;" AZCS9114002525 00    MIX DIGITAL LLC P  40702840202080000314    PLACEMENT UNDER THE CONTRACT 0 112-19 FROM 29 DEC.2018. VAT 938,47 USD. TIN9909522804, IEC997789001";4507,52;1210;;0;"";"";4507,52;4507,52;EUR;
25.04.2019;25.04.2019;"";-;"ADXCLUSIVE B.V. EURO20190424 1 INV NO  ";29000,00;1200;;0;"";"";29000,00;29000,00;EUR;
25.04.2019;25.04.2019;"";-;"ADMIXER UA LLC      ";64274,00;1200;;0;"";"";64274,00;64274,00;EUR;
26.04.2019;26.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
26.04.2019;26.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
26.04.2019;26.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
26.04.2019;26.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";137,23;4970;1200;0;"";"";137,23;137,23;EUR;
26.04.2019;26.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";84,63;4970;1200;0;"";"";84,63;84,63;EUR;
26.04.2019;26.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";32,75;4970;1200;0;"";"";32,75;32,75;EUR;
26.04.2019;26.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";27,50;4970;1200;0;"";"";27,50;27,50;EUR;
26.04.2019;26.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";17,26;4970;1200;0;"";"";17,26;17,26;EUR;
26.04.2019;26.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";137,23;4970;1200;0;"";"";137,23;137,23;EUR;
26.04.2019;26.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
26.04.2019;26.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
26.04.2019;26.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";137,23;4970;1200;0;"";"";137,23;137,23;EUR;
26.04.2019;26.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";34,50;4970;1200;0;"";"";34,50;34,50;EUR;
26.04.2019;26.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";137,23;4970;1200;0;"";"";137,23;137,23;EUR;
26.04.2019;26.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";29,36;4970;1200;0;"";"";29,36;29,36;EUR;
26.04.2019;26.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";20,39;4970;1200;0;"";"";20,39;20,39;EUR;
26.04.2019;26.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";20,57;4970;1200;0;"";"";20,57;20,57;EUR;
26.04.2019;26.04.2019;"";-;"LTD ADMIXER BY     AK T EURO20190331-28 ";6264,68;1200;;0;"";"";6264,68;6264,68;EUR;
26.04.2019;26.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";102,50;4970;1200;0;"";"";102,50;102,50;EUR;
26.04.2019;26.04.2019;"";-;"Google Ireland Limited   Inv 3574 986929 3575004833 3575008818 357500 9252 3575013289 3575013292 35750243 13 3575028047 3575028098 ";100000,00;;1200;0;"";"";100000,00;100000,00;EUR;
26.04.2019;26.04.2019;"";-;"Tappcelerator Media SL   Invoice N o 1900022  1900107  1900173";10840,95;;1200;0;"";"";10840,95;10840,95;EUR;
26.04.2019;26.04.2019;"";-;"Dailymotion S.A.   Invoices No W DE0034519, WDE0048 519";1678,16;;1200;0;"";"";1678,16;1678,16;EUR;
26.04.2019;26.04.2019;"";-;"Google Ireland Limited   Inv 3575 031202 3575034869 3575034872 357503 9522 3575042855 3575046013 35750483 30 3575053052 3575053058  ";97951,08;;1200;0;"";"";97951,08;97951,08;EUR;
26.04.2019;26.04.2019;"";-;"Adform A/S   Invoice 1 190007697, 1190007698, 1190007691, 1190007692, 1190007693, 1190007694, 1190007695, 1190011994  ";1529,38;;1200;0;"";"";1529,38;1529,38;EUR;
26.04.2019;26.04.2019;"";-;"AOK Rheinland";1024,80;1742;1200;0;"";"";1024,80;1024,80;EUR;
26.04.2019;26.04.2019;"";-;"LSt. 1904 ";284,75;1741;1200;0;"";"";284,75;284,75;EUR;
26.04.2019;26.04.2019;"";-;"Shpakova,Maria  Lohn 03.2019  CCB.116.UE.34810";1631,05;1740;1200;0;"";"";1631,05;1631,05;EUR;
26.04.2019;26.04.2019;"";-;"FCM Finance Consult Mittelstand e. K. INVOICE DE20190426-1  ";714,00;3106;1200;9;"";"";714,00;714,00;EUR;
26.04.2019;26.04.2019;"";-;"MILLENIA MEDIA GROUP LLC  US 2  /RFB/261572380//DOUBLECLICK MEDIA C OST ";66073,47;1200;;0;"";"";66073,47;66073,47;EUR;
26.04.2019;26.04.2019;"";-;" RMG DIGITAL  US 325115507173  /RFB/261581022//INVOICE EURO2019042 3 1";1000,00;1200;;0;"";"";1000,00;1000,00;EUR;
26.04.2019;26.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";12,50;4970;1200;0;"";"";12,50;12,50;EUR;
26.04.2019;26.04.2019;"";-;" AZCS9116069838 00  DUSSELDORF  BIN141040026698 ADMIXER CENTRAL ASIA LLP 202 H 405 F PR DOSTYK ALMATY KAZAKHSTAN 050201.KZ826017131000039733  CONT.01/2017 DD 270617 INV. USD2019 0228-21 DATE 28 02 2019 PAYMENT FOR A  FACEBOOK";71349,38;1210;;0;"";"";71349,38;71349,38;EUR;
26.04.2019;26.04.2019;"";-;" AZCS9116066377 00  AG DUSSELDORF GERMANY  ABSOLUTE SPORTS PRIVATE LIMITED FIRST FLOOR TOWER A 1 GOLDEN ENCLAVE OLD AIRPORT ROAD VIMANPURA POST INDIA 002280600001424  TWDS ADVERSTING CHGS INV NO USD 201 90408 2 RFB 005MISC191160190";687,10;1210;;0;"";"";687,10;687,10;EUR;
26.04.2019;26.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9116040791 00 IHRE REF: NONREF IE82BOFA99006154878215 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: FACEBOOK IRELAND LIMITED GRAND CANAL SQUARE 4 DUBLIN IE IE82BOFA99006154878215  FACEBOOK SERVICES, BILLING MONTH MA RCH 2019";80051,23;;1210;0;"";"";80051,23;80051,23;EUR;
26.04.2019;26.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9116039333 00 IHRE REF: NONREF AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: POINTERLABS INNOVATION PVT. LTD. MAHAVIR ENCLAVE 43 110059 NEW DELHI IN 107005010431   INV NO 201 9/02/EX/210  02/10/2019";6344,86;;1210;0;"";"";6344,86;6344,86;EUR;
26.04.2019;26.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9116038171 00 IHRE REF: NONREF FI9412375200015750 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: THIRDPRESENCE OY TAMMASAARENKATU 1 00180 HELSINKI FI FI9412375200015750   INV NO 440 , 441, 439  28/02/2019, INV NO 444  31/03/2019";10736,22;;1210;0;"";"";10736,22;10736,22;EUR;
26.04.2019;26.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9116040641 00 IHRE REF: NONREF AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: SMARTYADS INC 31 W 34TH ST SUITE8035 10001-3009 NEW YORK US 322191062   INVOICE N O SMA 2019-43559  03/01/2019";17974,78;;1210;0;"";"";17974,78;17974,78;EUR;
26.04.2019;26.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9116039177 00 IHRE REF: NONREF IL830310280000000334251 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: CONVERTISE LTD BIALIK 11 6332411 TEL AVIV IL IL830310280000000334251   INV NO 500 59  25/03/2019, NO 50061  02/04/2019";10630,13;;1210;0;"";"";10630,13;10630,13;EUR;
26.04.2019;26.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9116040640 00 IHRE REF: NONREF GB85MIDL40051581941336 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: NODDINGTON TECHNOLOGIES LIMITED CORSHAM STREET 41 N1 6DR LONDON GB GB85MIDL40051581941336  INFORMATION SERVICES USERS DATA, AC C INVOICES NO NT-190403-09, NO NT-1 90203-08, NO NT-190303-08, NO NT-19 0103-13";1703,91;;1210;0;"";"";1703,91;1703,91;EUR;
26.04.2019;26.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9116044978 00 IHRE REF: NONREF IE82BOFA99006154878215 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: FACEBOOK IRELAND LIMITED GRAND CANAL SQUARE 4 DUBLIN IE IE82BOFA99006154878215  FACEBOOK SERVICES, BILLING MONTH MA RCH 2019";80051,23;;1210;0;"";"";80051,23;80051,23;EUR;
26.04.2019;26.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9116039311 00 IHRE REF: NONREF AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: NATIVE ADS INC. SUITE N-249,FIFTH AVENUE 244 NY10001 NEW YORK US 3540911   INV NO 791 4  02/28/2019";1365,78;;1210;0;"";"";1365,78;1365,78;EUR;
26.04.2019;26.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9116040779 00 IHRE REF: NONREF IE82BOFA99006154878215 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: FACEBOOK IRELAND LIMITED GRAND CANAL SQUARE 4 DUBLIN IE IE82BOFA99006154878215  FACEBOOK SERVICES, BILLING MONTH MA RCH 2019";80051,23;;1210;0;"";"";80051,23;80051,23;EUR;
